Created Date,Complaint Type
2014-03-05,918
2014-03-06,1217
2014-03-07,811
2014-03-08,460
2014-03-09,604
2014-03-10,446
2014-03-11,411
2014-03-12,438
2014-03-13,1292
2014-03-14,802
2014-03-15,405
2014-03-16,788
2014-03-17,993
2014-03-18,929
2014-03-19,761
2014-03-20,413
2014-03-21,451
2014-03-22,365
2014-03-23,714
2014-03-24,1147
2014-03-25,862
2014-03-26,911
2014-03-27,742
2014-03-28,448
2014-03-29,449
2014-03-30,561
2014-03-31,627
2014-04-01,517
2014-04-02,518
2014-04-03,326
2014-04-04,653
2014-04-05,372
2014-04-06,488
2014-04-07,597
2014-04-08,418
2014-04-09,402
2014-04-10,437
2014-04-11,222
2014-04-12,181
2014-04-13,150
2014-04-14,212
2014-04-15,355
2014-04-16,977
2014-04-17,793
2014-04-18,660
2014-04-19,255
2014-04-20,304
2014-04-21,350
2014-04-22,238
2014-04-23,436
2014-04-24,545
2014-04-25,369
2014-04-26,305
2014-04-27,296
2014-04-28,365
2014-04-29,817
2014-04-30,856
2014-05-01,263
2014-05-02,171
2014-05-03,165
2014-05-04,175
2014-05-05,298
2014-05-06,198
2014-05-07,188
2014-05-08,261
2014-05-09,160
2014-05-10,107
2014-05-11,103
2014-05-12,110
2014-05-13,123
2014-05-14,126
2014-05-15,104
2014-05-16,131
2014-05-17,128
2014-05-18,130
2014-05-19,148
2014-05-20,128
2014-05-21,93
2014-05-22,108
2014-05-23,92
2014-05-24,93
2014-05-25,76
2014-05-26,84
2014-05-27,94
2014-05-28,120
2014-05-29,118
2014-05-30,106
2014-05-31,67
2014-06-01,103
2014-06-02,129
2014-06-03,107
2014-06-04,112
2014-06-05,104
2014-06-06,101
2014-06-07,61
2014-06-08,74
2014-06-09,92
2014-06-10,116
2014-06-11,124
2014-06-12,95
2014-06-13,65
2014-06-14,101
2014-06-15,83
2014-06-16,106
2014-06-17,108
2014-06-18,84
2014-06-19,107
2014-06-20,101
2014-06-21,75
2014-06-22,84
2014-06-23,84
2014-06-24,91
2014-06-25,87
2014-06-26,77
2014-06-27,85
2014-06-28,44
2014-06-29,66
2014-06-30,81
2014-07-01,87
2014-07-02,57
2014-07-03,96
2014-07-04,65
2014-07-05,83
2014-07-06,61
2014-07-07,109
2014-07-08,94
2014-07-09,104
2014-07-10,99
2014-07-11,83
2014-07-12,64
2014-07-13,77
2014-07-14,91
2014-07-15,92
2014-07-16,103
2014-07-17,83
2014-07-18,92
2014-07-19,38
2014-07-20,71
2014-07-21,97
2014-07-22,76
2014-07-23,77
2014-07-24,72
2014-07-25,65
2014-07-26,54
2014-07-27,63
2014-07-28,90
2014-07-29,83
2014-07-30,100
2014-07-31,64
2014-08-01,71
2014-08-02,53
2014-08-03,59
2014-08-04,78
2014-08-05,109
2014-08-06,67
2014-08-07,59
2014-08-08,65
2014-08-09,70
2014-08-10,55
2014-08-11,82
2014-08-12,76
2014-08-13,66
2014-08-14,71
2014-08-15,67
2014-08-16,75
2014-08-17,51
2014-08-18,82
2014-08-19,73
2014-08-20,84
2014-08-21,75
2014-08-22,73
2014-08-23,71
2014-08-24,48
2014-08-25,65
2014-08-26,65
2014-08-27,62
2014-08-28,94
2014-08-29,65
2014-08-30,64
2014-08-31,68
2014-09-01,76
2014-09-02,82
2014-09-03,76
2014-09-04,78
2014-09-05,55
2014-09-06,60
2014-09-07,68
2014-09-08,91
2014-09-09,66
2014-09-10,76
2014-09-11,85
2014-09-12,82
2014-09-13,52
2014-09-14,54
2014-09-15,107
2014-09-16,119
2014-09-17,83
2014-09-18,79
2014-09-19,73
2014-09-20,74
2014-09-21,46
2014-09-22,99
2014-09-23,96
2014-09-24,84
2014-09-25,77
2014-09-26,72
2014-09-27,68
2014-09-28,95
2014-09-29,118
2014-09-30,77
2014-10-01,102
2014-10-02,120
2014-10-03,91
2014-10-04,105
2014-10-05,559
2014-10-06,489
2014-10-07,173
2014-10-08,179
2014-10-09,127
2014-10-10,202
2014-10-11,487
2014-10-12,498
2014-10-13,286
2014-10-14,153
2014-10-15,136
2014-10-16,149
2014-10-17,124
2014-10-18,111
2014-10-19,1281
2014-10-20,1966
2014-10-21,582
2014-10-22,995
2014-10-23,1782
2014-10-24,974
2014-10-25,560
2014-10-26,4
